t,diameter,height,angle
0,34.8681122,17.52794143,90
1000,34.91812569,17.57421429,89.9999998
2000,34.95474901,17.61231857,89.99999974
3000,34.98039864,17.6434415,89.99999973
4000,34.99702628,17.66856295,89.99999973
5000,35.00622213,17.68852825,89.99999971
6000,35.00929731,17.70411643,89.99999969
7000,35.00732786,17.71599155,89.99999965
8000,35.00119614,17.72468284,89.99999959
9000,34.99163538,17.73060271,89.9999995
10000,34.97926491,17.73407523,89.99999935
11000,34.96461286,17.7353615,89.99999909
12000,34.94813005,17.73467829,89.99999855
13000,34.930199,17.73221084,89.99999728
14000,34.91114108,17.72812117,89.99999363
15000,34.89122337,17.72255342,89.99998014
16000,34.87066767,17.71563731,89.99991311
17000,34.8496812,17.70749034,89.99944332
18000,34.82875742,17.69821938,89.994612
19000,34.81366452,17.6879217,89.9209408
20000,34.85552154,17.67668477,89.27128283
21000,34.86289909,17.6646059,89.17915248
22000,34.85577445,17.65184124,89.15437603
23000,34.84677332,17.63841296,89.12139549
24000,34.83719418,17.6242844,89.0826247
25000,34.82757466,17.60945879,89.0385998
26000,34.81797122,17.59396987,88.9927486
27000,34.80639934,17.57786438,88.96463126
28000,34.79456468,17.5611906,88.93350628
29000,34.78275328,17.5439918,88.89938246
30000,34.77109372,17.52630954,88.86216482
31000,34.75967624,17.50818374,88.82169321
32000,34.74857331,17.48965129,88.77777875
33000,34.73726148,17.47074538,88.73742257
34000,34.72468566,17.45149558,88.70703069
35000,34.71203858,17.43192614,88.673937
36000,34.69946009,17.4120567,88.63816081
37000,34.68702445,17.39190664,88.59958265
38000,34.67478813,17.37149484,88.55804401
39000,34.66280044,17.35083881,88.51336819
40000,34.6500414,17.32995419,88.47718166
41000,34.63658469,17.30885463,88.44371589
42000,34.62309517,17.28754964,88.40762403
43000,34.60966664,17.26604747,88.36885583
44000,34.59635967,17.24435738,88.32728936
45000,34.5832243,17.22248862,88.28277799
46000,34.56983827,17.20044968,88.24108598
47000,34.554877,17.17824802,88.2116522
48000,34.53965799,17.15588806,88.1798814
49000,34.52433474,17.13337155,88.14585318
50000,34.50898189,17.11070238,88.10950662
51000,34.49365367,17.08788582,88.07074368
52000,34.47839617,17.06492721,88.02944908
53000,34.4624468,17.04183123,87.99548032
54000,34.4439129,17.01860184,87.98131553
55000,34.42470621,16.9953132,87.96608494
56000,34.40503747,16.97225135,87.94987604
57000,34.38499552,16.94917443,87.93269212
58000,34.3646352,16.92608785,87.91451322
59000,34.34399663,16.90299754,87.89530854
60000,34.32311219,16.87990891,87.87504057
61000,34.30200974,16.85682641,87.85366683
62000,34.2807143,16.83375351,87.83114065
63000,34.2592491,16.81069272,87.80741164
64000,34.2376362,16.78764574,87.78242582
65000,34.21589694,16.76461351,87.75612578
66000,34.21544542,16.74159571,87.49911262
67000,34.6773506,16.71855384,83.28772629
68000,34.72478822,16.69613671,83.37105098
69000,34.74873725,16.67427226,83.40791027
70000,34.76202261,16.65204143,83.42619656
71000,34.76890431,16.62904275,83.43409881
72000,34.77139092,16.60522158,83.43513234
73000,34.77062215,16.58066144,83.43113066
74000,34.7673264,16.55548524,83.42317173
75000,34.76200931,16.52981509,83.4119426
76000,34.75504286,16.50375801,83.39790661
77000,34.74671189,16.47740274,83.38138879
78000,34.73724061,16.45082062,83.36262328
79000,34.72680903,16.42406806,83.34178157
80000,34.71556372,16.39718905,83.31899029
81000,34.70362541,16.37021756,83.29434299
82000,34.69109454,16.34317949,83.2679083
83000,34.67801012,16.31609431,83.24028528
84000,34.6643612,16.28897636,83.21196986
85000,34.65030081,16.26183569,83.18201396
86000,34.63589013,16.23467909,83.15044341
87000,34.6211782,16.20751108,83.11726782
88000,34.606207,16.18033429,83.08248885
89000,34.59101323,16.1531497,83.04610265
90000,34.57562952,16.12595694,83.00810137
91000,34.56154304,16.09875448,82.95303533
92000,34.54818621,16.07154076,82.89283038
93000,34.53501253,16.04431666,82.83106918
94000,34.52198122,16.01707863,82.76754357
95000,34.51262276,15.98998458,82.66615983
96000,34.49869466,15.96324914,82.62062422
97000,34.48325941,15.9366377,82.57948781
98000,34.46646605,15.910127,82.54501465
99000,34.44815937,15.88370153,82.51875148
100000,34.42808187,15.85735395,82.50257741
101000,34.70658852,15.83108053,78.25783924
102000,34.85782774,15.80488433,78.51216411
103000,34.89381492,15.7796792,78.59342885
104000,34.91191361,15.75475165,78.62911907
105000,34.92141909,15.72918148,78.64496903
106000,34.92564096,15.70275495,78.64922038
107000,34.92618855,15.67554971,78.64556137
108000,34.92399901,15.64772157,78.635983
109000,34.91968599,15.61942708,78.62169569
110000,34.91368349,15.59079977,78.60349528
111000,34.90631407,15.56194607,78.58193315
112000,34.89782526,15.53294789,78.55740489
113000,34.88841115,15.50386688,78.53020095
114000,34.8782262,15.47474862,78.50053788
115000,34.86834,15.44562612,78.45909666
116000,34.85819342,15.41652375,78.41531082
117000,34.84775141,15.38745947,78.36926202
118000,34.83705449,15.35844279,78.32098451
119000,34.82614488,15.3294774,78.27052857
120000,34.81334367,15.30056354,78.23449937
121000,34.80060356,15.27169681,78.19082945
122000,34.78729233,15.24287137,78.14835038
123000,34.77336053,15.21408479,78.10720034
124000,34.75877565,15.18533353,78.06758948
125000,34.74350446,15.15661334,78.02975102
126000,34.72783622,15.12791973,77.98964951
127000,34.71385503,15.09924826,77.93052241
128000,34.69945337,15.07059916,77.87601244
129000,34.68436179,15.04197183,77.82581192
130000,34.66843031,15.01335756,77.7801797
131000,34.65360546,14.98500215,77.71326494
132000,34.65073955,14.95699702,77.53990419
133000,35.02821255,14.92915105,73.9136686
134000,35.08349821,14.90207746,73.99429648
135000,35.1082165,14.87574366,74.02415929
136000,35.12115333,14.84883221,74.03646558
137000,35.12742384,14.82098828,74.03842438
138000,35.12928436,14.79230405,74.03301791
139000,35.12794019,14.76297883,74.02209987
140000,35.12412845,14.73320733,74.00697115
141000,35.11863666,14.70314996,73.98546322
142000,35.1118963,14.67293032,73.95902796
143000,35.10391717,14.64264129,73.93032887
144000,35.09485056,14.61234917,73.89991913
145000,35.08481283,14.58209963,73.86825978
146000,35.07389032,14.55192361,73.83573305
147000,35.06214597,14.52184136,73.8026601
148000,35.04962467,14.49186547,73.76931599
149000,35.03680592,14.46200289,73.73093598
150000,35.02421044,14.43225692,73.68606951
151000,35.01109824,14.40263055,73.64192347
152000,34.99740175,14.37312191,73.59855612
153000,34.9830877,14.34372437,73.556105
154000,34.96812955,14.3144299,73.51473079
155000,34.95376389,14.28523044,73.46145611
156000,34.93997179,14.25611978,73.40265284
157000,34.92572656,14.22709594,73.34627615
158000,34.9108956,14.19815002,73.29231508
159000,34.89599223,14.16926914,73.23331514
160000,34.88546387,14.14044151,73.1333867
161000,34.87513766,14.11166785,73.03882175
162000,35.10269963,14.08294368,69.79375311
163000,35.25867882,14.05439334,69.66689417
164000,35.29551237,14.02685426,69.682355
165000,35.31361835,13.99896909,69.68379543
166000,35.32287151,13.97045798,69.67585585
167000,35.32671365,13.94102933,69.66111724
168000,35.32679245,13.91091557,69.64124684
169000,35.32405483,13.88035202,69.61744372
170000,35.31910748,13.84952968,69.5906189
171000,35.31236397,13.81859173,69.56148328
172000,35.30411615,13.78764117,69.53060043
173000,35.29459893,13.75675011,69.49807654
174000,35.28502867,13.72596776,69.45488708
175000,35.27470948,13.69532857,69.411106
176000,35.26360147,13.66485418,69.36694498
177000,35.25172359,13.63455355,69.32262675
178000,35.23909449,13.60442862,69.2783574
179000,35.22625341,13.57447746,69.22856863
180000,35.21421717,13.54469648,69.16814079
181000,35.20178174,13.51508452,69.10863581
182000,35.18881736,13.48563439,69.05010749
183000,35.17550347,13.45633327,68.98966954
184000,35.1648204,13.42716839,68.90278842
185000,35.15424341,13.39813481,68.81773319
186000,35.14420569,13.3692239,68.72478419
187000,35.14203029,13.34041784,68.56478229
188000,35.16710623,13.31171576,68.1286293
189000,35.4675432,13.28320184,65.72138061
190000,35.5114221,13.25554033,65.65774624
191000,35.5339889,13.22758821,65.60971071
192000,35.54671377,13.19860325,65.56543542
193000,35.55340203,13.16862324,65.52222188
194000,35.55645554,13.13787112,65.4732615
195000,35.55750683,13.10656953,65.41659666
196000,35.55634915,13.0749008,65.35966413
197000,35.55333282,13.04299676,65.30262831
198000,35.54880548,13.01094823,65.24472644
199000,35.54522987,12.97918158,65.16738711
200000,35.54117098,12.94774957,65.08920689
201000,35.53640735,12.91652867,65.01106279
202000,35.53374842,12.88552666,64.90769163
203000,35.53240308,12.85474777,64.79555857
204000,35.53390222,12.82419333,64.65648147
205000,35.54076532,12.79385243,64.48057587
206000,35.56046358,12.7637198,64.20383541
207000,35.6089944,12.7337907,63.71098956
208000,35.67900486,12.70408111,63.14169404
209000,35.72449879,12.67456622,62.83343864
210000,35.75165387,12.64501324,62.65238427
211000,35.76810291,12.61518793,62.52339044
212000,35.77635732,12.58502377,62.43662945
213000,35.77854155,12.55456509,62.3702527
214000,35.77694857,12.523888,62.312045
215000,35.77227124,12.49308137,62.26034272
216000,35.79050843,12.46222571,61.98087875
217000,36.16811567,12.43146773,59.04837644
218000,36.33389167,12.4015931,58.33480596
219000,36.42719109,12.37197096,58.06248118
220000,36.4803654,12.34126465,57.96251119
221000,36.51425235,12.30911854,57.91361344
222000,36.53852487,12.27571249,57.86791755
223000,36.55861241,12.24138278,57.80837321
224000,36.6424976,12.20645609,57.01391368
225000,36.84002698,12.17132028,56.05501871
226000,36.88299071,12.13654225,56.01912958
227000,36.91125282,12.10127966,55.9870832
228000,36.93107808,12.06525635,55.95862274
229000,36.94568415,12.02863626,55.9282389
230000,36.95641443,11.99176885,55.8961178
231000,36.96409364,11.95533039,55.86238193
232000,36.96928645,11.91912155,55.82708281
233000,36.97240074,11.88322651,55.79022872
234000,36.9737409,11.84769659,55.75180426
235000,36.97234179,11.81255974,55.72070868
236000,36.96911282,11.77782606,55.6890286
237000,36.96442354,11.74349611,55.65604656
238000,36.95844195,11.7095677,55.62168067
239000,36.9512952,11.67603445,55.58586044
240000,36.94308832,11.64288608,55.54851616
241000,36.93391189,11.6101095,55.50957699
242000,36.92312349,11.57768965,55.47451807
243000,36.91097814,11.5456092,55.43987524
244000,36.89788282,11.51385032,55.40368445
245000,36.88394255,11.48239881,55.36585084
246000,36.86923709,11.45124125,55.32629136
247000,36.85383558,11.42036379,55.28492659
248000,36.83805723,11.38975208,55.23930375
249000,36.82348679,11.35939214,55.18020436
250000,36.8088638,11.32927256,55.1186712
251000,36.79409293,11.29937684,55.05460853
252000,36.77988481,11.26968365,54.98152033
253000,36.77062477,11.24017433,54.87328211
254000,36.76180655,11.21083883,54.76680671
255000,36.76975543,11.18165485,54.53610653
256000,37.08973107,11.15267814,52.3119895
257000,37.13905108,11.12438404,52.25137765
258000,37.15961337,11.09575137,52.20992295
259000,37.16852869,11.06597634,52.17045505
260000,37.17056239,11.03521359,52.13131683
261000,37.16786797,11.0037723,52.09193712
262000,37.16171282,10.97238128,52.0518603
263000,37.15293273,10.94103456,52.010696
264000,37.14312984,10.90981035,51.96089039
265000,37.132665,10.87879214,51.9050755
266000,37.1214864,10.84803077,51.84559738
267000,37.10921873,10.81754999,51.7857369
268000,37.09707966,10.78735592,51.71642706
269000,37.0867873,10.75744747,51.63200211
270000,37.07611529,10.72782171,51.54778683
271000,37.06727326,10.69846126,51.44543558
272000,37.06340632,10.66934687,51.31434687
273000,37.0677488,10.64046656,51.12709878
274000,37.20916805,10.61180335,49.83463158
275000,37.39394658,10.5835282,49.07093403
276000,37.42710902,10.55560259,48.99242013
277000,37.44402199,10.52691432,48.92053331
278000,37.45231002,10.49734411,48.85332547
279000,37.45496653,10.46715678,48.78856311
280000,37.45458454,10.43661401,48.71798207
281000,37.4537826,10.40591242,48.6350814
282000,37.45113822,10.37518868,48.55249987
283000,37.44817541,10.34452282,48.46061949
284000,37.44805855,10.31396053,48.3472021
285000,37.44842248,10.28353042,48.22773708
286000,37.45654462,10.25323616,48.06106953
287000,37.47504618,10.22307441,47.8359155
288000,37.52769047,10.19303264,47.41786897
289000,37.72238597,10.16312619,46.26321015
290000,37.79665238,10.13336299,46.00200505
291000,37.85470857,10.1032694,45.73995518
292000,37.93578192,10.07243017,45.32285373
293000,38.08192713,10.04094822,44.59938272
294000,38.19594661,10.00898592,44.13948358
295000,38.26780139,9.976786041,43.88769971
296000,38.31662631,9.94414991,43.71812262
297000,38.34909102,9.911012608,43.59967493
298000,38.37317184,9.8775425,43.49477269
299000,38.40652529,9.843931625,43.31866977
300000,38.54001782,9.810365568,42.5648339
301000,38.69371334,9.777007212,41.99424814
302000,38.71699483,9.743867984,41.98717743
303000,38.72443344,9.710379,41.98196245
304000,38.72311815,9.676542975,41.97759313
305000,38.71565662,9.642610712,41.97372812
306000,38.70344049,9.608799096,41.9701781
307000,38.68732352,9.575254966,41.96682048
308000,38.66786507,9.542068113,41.96357224
309000,38.64544829,9.509288631,41.96037552
310000,38.62034627,9.47694048,41.95718862
311000,38.59276134,9.445030877,41.95398019
312000,38.56284939,9.413556528,41.95072544
313000,38.530735,9.382507689,41.94740378
314000,38.49652115,9.351870789,41.94399723
315000,38.46029549,9.321630109,41.93991069
316000,38.42213441,9.29176886,41.93476532
317000,38.38210576,9.262269854,41.92982564
318000,38.34027067,9.233115935,41.92513912
319000,38.29668483,9.204290227,41.92075319
320000,38.25139939,9.175776293,41.91671515
321000,38.20446153,9.14755821,41.91307208
322000,38.15591498,9.119620611,41.90987079
323000,38.10580035,9.091948695,41.90715777
324000,38.05415541,9.064528218,41.90497919
325000,38.00101531,9.037345474,41.90338083
326000,37.94597732,9.010387274,41.90514936
327000,37.88961821,8.983841582,41.90689031
328000,37.83198574,8.957740589,41.90852561
329000,37.773116,8.931970057,41.91003695
330000,37.71304303,8.906514351,41.91140645
331000,37.65179883,8.88135848,41.9126166
332000,37.58941348,8.856488048,41.91365028
333000,37.52591523,8.83188922,41.91449074
334000,37.4613305,8.807548684,41.91512157
335000,37.39568401,8.783453621,41.91552674
336000,37.32899879,8.759591667,41.91569057
337000,37.26129624,8.735950891,41.9155977
338000,37.19259619,8.712519761,41.91523311
339000,37.12291693,8.689287121,41.91458209
340000,37.05227528,8.666242167,41.91363026
341000,36.98068655,8.643374426,41.91236354
342000,36.90816468,8.62067373,41.91076814
343000,36.83472218,8.598130201,41.90883057
344000,36.76037023,8.575734229,41.9065376
345000,36.68511866,8.553476458,41.9038763
346000,36.60897598,8.531347766,41.90083397
347000,36.53194944,8.509339251,41.8973982
348000,36.45404502,8.487442217,41.89180618
349000,36.37526744,8.465648159,41.88339514
350000,36.29562023,8.44394875,41.87622162
351000,36.21510567,8.422335831,41.870323
352000,36.13372489,8.400801394,41.86573638
353000,36.05147782,8.379337576,41.86249858
354000,35.9679981,8.357936646,41.86294105
355000,35.88325412,8.336590993,41.86728461
356000,35.79793696,8.315293122,41.87120007
357000,35.71204962,8.294035636,41.87467536
358000,35.62559388,8.272811235,41.87769865
359000,35.53857033,8.251612702,41.88025836
360000,35.4509784,8.230432899,41.88234318
361000,35.36281632,8.209264752,41.88394201
362000,35.27408119,8.188101251,41.88504398
363000,35.18476894,8.166935436,41.88563842
364000,35.09487437,8.145760394,41.88571486
365000,35.00439115,8.124569248,41.885263
366000,34.91331182,8.103355152,41.88427271
367000,34.82162778,8.082111281,41.88273403
368000,34.72932932,8.060830829,41.88063712
369000,34.63640562,8.039506995,41.87797227
370000,34.5428447,8.018132982,41.87472989
371000,34.4486335,7.996729913,41.86805338
372000,34.35375781,7.975473231,41.85758966
373000,34.25820228,7.954243802,41.84890748
374000,34.16195045,7.933034923,41.84203683
375000,34.06498468,7.911839936,41.83700821
376000,33.96683129,7.890652229,41.83670877
377000,33.86728657,7.869465221,41.8423248
378000,33.76737566,7.848272356,41.84732007
379000,33.66708289,7.827067098,41.85168535
380000,33.56639146,7.805842919,41.8554115
381000,33.46528338,7.784593291,41.85848941
382000,33.36373951,7.763311682,41.86091004
383000,33.26173949,7.741991542,41.86266437
384000,33.15926178,7.720626299,41.86374337
385000,33.0562836,7.699209347,41.86413802
386000,32.95278096,7.677734039,41.86383926
387000,32.84872857,7.656193678,41.862838
388000,32.74409989,7.634581507,41.86112508
389000,32.63886704,7.612890697,41.85869125
390000,32.5330008,7.591114343,41.85552717
391000,32.4264706,7.569245448,41.84593672
392000,32.31924441,7.547276912,41.83350774
393000,32.21128879,7.525201528,41.82329114
394000,32.10256877,7.503011962,41.8153185
395000,31.99292848,7.480700745,41.81037168
396000,31.88094398,7.458260259,41.81717838
397000,31.76857988,7.435682727,41.82320416
398000,31.65580232,7.412960192,41.82843933
399000,31.5425759,7.39008451,41.83287404
400000,31.42886363,7.36704733,41.8364982
401000,31.31462689,7.343840079,41.83930155
402000,31.19982532,7.320453943,41.84127354
403000,31.08441678,7.296879853,41.84240336
404000,30.9683573,7.273108461,41.8426799
405000,30.85160094,7.249130121,41.84209173
406000,30.73409975,7.224934867,41.84062705
407000,30.61580363,7.200512392,41.83827367
408000,30.49666029,7.175852018,41.835019
409000,30.37661506,7.150942675,41.81848299
410000,30.25561082,7.125772867,41.80373064
411000,30.13358784,7.100330646,41.79166613
412000,30.01048366,7.074603577,41.7823342
413000,29.88411627,7.048578703,41.789044
414000,29.75691879,7.022242507,41.79617535
415000,29.62905196,6.99559217,41.80232706
416000,29.50045224,6.968742701,41.80748426
417000,29.37105303,6.941683966,41.81163147
418000,29.2407844,6.914403314,41.81475249
419000,29.10957294,6.886887483,41.81683043
420000,28.97734148,6.859122552,41.81784759
421000,28.84400887,6.831093888,41.81778544
422000,28.70948964,6.802786082,41.81662451
423000,28.57369371,6.774182886,41.81434441
424000,28.4365261,6.745267139,41.80260037
425000,28.29788645,6.716020692,41.78094335
426000,28.1576687,6.686424318,41.76256006
427000,28.01576057,6.656457616,41.7475483
428000,27.86903074,6.62609891,41.75474756
429000,27.72070697,6.595325126,41.7633404
430000,27.57108852,6.564111669,41.77068006
431000,27.42005277,6.532432275,41.77673913
432000,27.26746911,6.500258852,41.78148858
433000,27.11319822,6.467561304,41.78489764
434000,26.95709119,6.434307328,41.78693365
435000,26.79898867,6.400462194,41.7875619
436000,26.63871976,6.365988487,41.78674547
437000,26.47610089,6.330845833,41.78024599
438000,26.31093454,6.29499057,41.74777608
439000,26.14300767,6.258375388,41.71970329
440000,25.97116913,6.220948921,41.70149806
441000,25.7918864,6.182655269,41.71355992
442000,25.61007799,6.143433467,41.72399109
443000,25.42548484,6.103216865,41.73273912
444000,25.23782421,6.061932424,41.73974766
445000,25.04678674,6.019499892,41.7449561
446000,24.85203301,5.975455569,41.7482991
447000,24.65318958,5.930000467,41.74970618
448000,24.44984435,5.883413659,41.73557555
449000,24.24154115,5.835591336,41.68555356
450000,24.02777342,5.786417234,41.64072566
451000,23.79996767,5.735760668,41.6506033
452000,23.56551848,5.683474168,41.6659562
453000,23.32503209,5.629390646,41.67895311
454000,23.07777659,5.573319968,41.68947829
455000,22.82292163,5.515044787,41.6974053
456000,22.55952088,5.454315454,41.70259593
457000,22.28649083,5.390843754,41.63012253
458000,22.00258469,5.324295149,41.54632234
459000,21.68943212,5.254279119,41.57251551
460000,21.36365801,5.180337032,41.59651586
461000,21.02353679,5.101926814,41.61714595
462000,20.66684081,5.018403422,41.63418562
463000,20.29091937,4.92422976,41.53859837
464000,19.88349202,4.822286846,41.43161515
465000,19.42513723,4.712755172,41.47751352
466000,18.93700601,4.594227203,41.51970755
467000,18.41329572,4.464944652,41.47603144
468000,17.82853838,4.322690198,41.26169472
469000,17.13974045,4.164640564,41.35064674
470000,16.38569299,3.984755304,41.27982032
471000,15.47636952,3.746227651,41.07251023
472000,14.39071666,3.473559379,41.00675554
473000,12.97117948,3.157123082,40.83484258
474000,10.999944,2.686930706,40.27271481
475000,7.171416155,2.041032365,34.19544086
475058,0,0,0
