t,diameter,height,slope
0,34.8681122,17.52794143,90
5000,35.0062324,17.68864128,90
10000,34.9792972,17.732564,90
15000,34.89156834,17.72461976,90
20000,34.78154525,17.70742182,90
25000,34.66616931,17.6998355,90
30000,34.55608718,17.70796802,90
35000,34.45798538,17.73266954,90
40000,34.37554323,17.77280789,90
45000,34.31036673,17.8266504,90
50000,34.26274723,17.89244308,90
55000,34.23219068,17.96863694,90
60000,34.2177606,18.05475779,90
65000,34.21829319,18.14815583,90
70000,34.2325305,18.24693853,90
75000,34.25920228,18.35023331,90
80000,34.29707576,18.45740013,90
85000,34.344985,18.56799527,90
90000,34.40184728,18.68173952,90
95000,34.46667087,18.79849123,90
100000,34.53855738,18.91822376,90
105000,34.61670039,19.04173037,90
110000,34.70038188,19.16771851,90
115000,34.78896714,19.29375539,90
120000,34.88189898,19.42000711,90
125000,34.97869151,19.54669958,90
130000,35.07892392,19.67410861,90
135000,35.18223431,19.80255205,90
140000,35.28831381,19.93238369,90
145000,35.3969011,20.06498433,90
150000,35.50777722,20.1980762,90
155000,35.62076085,20.33004971,90
160000,35.73570397,20.46132487,90
165000,35.85248798,20.5923371,90
170000,35.97102009,20.72353539,90
175000,36.09221925,20.85538122,90
180000,36.21394242,20.98834795,90
185000,36.33561395,21.12407496,90
190000,36.45718842,21.2583525,90
195000,36.57863873,21.39139953,90
200000,36.69995358,21.52371368,90
205000,36.82113523,21.65579518,90
210000,36.94219755,21.7881478,90
215000,37.06316426,21.92128002,90
220000,37.18406745,22.05662459,90
225000,37.30494621,22.19235877,90
230000,37.4258455,22.32656831,90
235000,37.54681508,22.45977673,90
240000,37.6679087,22.59250641,90
245000,37.78918323,22.72528038,90
250000,37.91069805,22.85862424,90
255000,38.03290273,22.99306813,90
260000,38.15548868,23.13026382,90
265000,38.27685442,23.2658899,90
270000,38.39707941,23.4003246,90
275000,38.51624361,23.53410467,90
280000,38.63442705,23.66776717,90
285000,38.75170951,23.80185172,90
290000,38.86817019,23.93690279,90
295000,38.98388745,24.07453479,90
300000,39.09893864,24.21210525,90
305000,39.21339987,24.34832753,90
310000,39.32734587,24.48375426,90
315000,39.44084986,24.61893908,90
320000,39.55398348,24.75443915,90
325000,39.66681664,24.89081757,90
330000,39.77941748,25.0291963,90
335000,39.89185232,25.16925169,90
340000,40.00423396,25.3078281,90
345000,40.11709134,25.44549958,90
350000,40.22857201,25.58284246,90
355000,40.33875861,25.72043798,90
360000,40.44773124,25.85887492,90
365000,40.55556743,25.99875237,90
370000,40.66234217,26.14171295,90
375000,40.76812793,26.28312883,90
380000,40.87299469,26.42357505,90
385000,40.97700992,26.56365848,90
390000,41.08023869,26.70399276,90
395000,41.18274363,26.84520114,90
400000,41.28458499,26.98791956,90
405000,41.38582069,27.13388563,90
410000,41.48650632,27.27852967,90
415000,41.58669522,27.42220729,90
420000,41.68643847,27.56556522,90
425000,41.78578496,27.70925931,90
430000,41.88478141,27.85395779,90
435000,41.98347243,28.00035238,90
440000,42.08232797,28.15009654,90
445000,42.18005855,28.29828909,90
450000,42.27654855,28.44561874,90
455000,42.37185783,28.59278303,90
460000,42.46604377,28.74049189,90
465000,42.55916133,28.88947139,90
470000,42.65126313,29.04119974,90
475000,42.74239948,29.19462562,90
480000,42.83261843,29.34668579,90
485000,42.92196585,29.49812948,90
490000,43.01048549,29.64971873,90
495000,43.09821899,29.80223259,90
500000,43.18520597,29.95647153,90
505000,43.27148404,30.11445088,90
510000,43.3570889,30.27180734,90
515000,43.44205432,30.4281679,90
520000,43.52641225,30.58435855,90
525000,43.61019281,30.74122394,90
530000,43.69342435,30.89963244,90
535000,43.7761335,31.06146249,90
540000,43.8583452,31.22449726,90
545000,43.94008274,31.38625909,90
