t,diameter,height,angle
0,40.17058725,15.12162791,69.9999319
1000,40.17070915,15.12162763,69.99902257
2000,40.17073541,15.1216275,69.99895483
3000,40.17075452,15.12162767,69.99890623
4000,40.17076988,15.12162093,69.99886922
5000,40.17078527,15.12162815,69.99883262
6000,40.17079693,15.121651,69.99879866
7000,40.17080123,15.121665,69.9987821
8000,40.17080339,15.12164559,69.99878036
9000,40.17081326,15.12158421,69.99877225
10000,40.1708374,15.12149081,69.99873575
11000,40.17087466,15.12138967,69.99866292
12000,40.17091624,15.12131371,69.99856449
13000,40.17094839,15.1212994,69.99846638
14000,40.17095597,15.12138312,69.99840243
15000,40.17092562,15.12159877,69.9984068
16000,40.17084809,15.1219766,69.99850761
17000,40.17071967,15.12254256,69.99872265
18000,40.1705428,15.12331831,69.99905694
19000,40.17032607,15.12432141,69.99950188
20000,40.17008431,15.12556565,70.00002899
21000,40.16985165,15.12706151,70.00047688
22000,40.16964223,15.12881656,70.00092029
23000,40.16947984,15.13083589,70.0013227
24000,40.16939144,15.13312244,70.00164012
25000,40.16940561,15.1356773,70.00182472
26000,40.16955173,15.13850005,70.00182639
27000,40.1698594,15.14158896,70.00159407
28000,40.17035791,15.14494124,70.00107684
29000,40.17107589,15.14855323,70.00022493
30000,40.17207222,15.15242055,69.99868927
31000,40.17338035,15.15653823,69.99647838
32000,40.175019,15.16090089,69.99361209
33000,40.17701412,15.16550283,69.99003855
34000,40.17939027,15.170338,69.98571031
35000,40.18217008,15.17540007,69.98058633
36000,40.18537399,15.18068256,69.97463285
37000,40.18902007,15.18617882,69.96782394
38000,40.19312395,15.19188214,69.96014192
39000,40.1976988,15.19778576,69.95157752
40000,40.20275526,15.20388292,69.94212996
41000,40.20830147,15.21016687,69.93180689
42000,40.21434313,15.2166309,69.92062417
43000,40.22088351,15.22326839,69.90860557
44000,40.22792358,15.23007277,69.89578233
45000,40.23546204,15.23703759,69.88219262
46000,40.24349553,15.24415652,69.86788092
47000,40.25201869,15.25142334,69.85289739
48000,40.26102433,15.25883199,69.83729709
49000,40.27050359,15.26637653,69.82113922
50000,40.28044611,15.27405121,69.8044864
51000,40.29084018,15.28185042,69.78740382
52000,40.30167291,15.28976874,69.76995854
53000,40.31293041,15.29780093,69.75221878
54000,40.32516437,15.30594191,69.72892451
55000,40.33814273,15.31418676,69.70398341
56000,40.35165609,15.32253192,69.67867081
57000,40.36564085,15.33097391,69.65321667
58000,40.38005045,15.33950829,69.62779331
59000,40.39484549,15.34813008,69.60254522
60000,40.40999074,15.35683425,69.57759838
61000,40.42545386,15.3656159,69.55306426
62000,40.44120481,15.37447043,69.52904197
63000,40.45721552,15.38339358,69.5056197
64000,40.47414311,15.39238139,69.4762711
65000,40.49185469,15.40143013,69.4447789
66000,40.50992347,15.41053783,69.41415643
67000,40.52824326,15.41970313,69.3847174
68000,40.54674394,15.4289232,69.3566498
69000,40.56537192,15.43819435,69.33008093
70000,40.58408378,15.44751271,69.30509946
71000,40.60284341,15.45687462,69.28176668
72000,40.62162023,15.46627684,69.26012344
73000,40.64080479,15.47571659,69.23587907
74000,40.66071368,15.4851914,69.20843942
75000,40.68069974,15.49470012,69.18331446
76000,40.70063142,15.50424312,69.16080401
77000,40.720435,15.51381945,69.14101353
78000,40.74006093,15.52342707,69.12397016
79000,40.75947381,15.53306367,69.10965821
80000,40.77864768,15.54272717,69.09803645
81000,40.79756335,15.55241593,69.08904811
82000,40.8162066,15.56212881,69.08262726
83000,40.83456697,15.57186515,69.07870289
84000,40.85263688,15.58162471,69.07720175
85000,40.87041098,15.59140763,69.07805021
86000,40.88788561,15.60121435,69.08117552
87000,40.90505844,15.61104556,69.08650668
88000,40.92192816,15.62090212,69.09397489
89000,40.93849423,15.63078508,69.10351392
90000,40.95475674,15.64069558,69.11506018
91000,40.9707162,15.65063485,69.1285528
92000,40.98637349,15.66060416,69.14393355
93000,41.00172976,15.67060486,69.16114675
94000,41.01678635,15.68063828,69.18013909
95000,41.03154477,15.69070577,69.20085954
96000,41.04600664,15.70080868,69.22325912
97000,41.06017371,15.71094834,69.24729074
98000,41.07471591,15.72112607,69.2666041
99000,41.08931655,15.73134304,69.28619173
100000,41.10379515,15.74160159,69.30696586
101000,41.11812042,15.75190421,69.32892602
102000,41.13227598,15.76225217,69.35206293
103000,41.14625131,15.77264597,69.37636374
104000,41.16003898,15.78308574,69.40181375
105000,41.17363339,15.79357149,69.4283972
106000,41.18703015,15.80410326,69.4560977
107000,41.20022571,15.81468114,69.48489847
108000,41.21354082,15.82530528,69.51140862
109000,41.2272223,15.83597582,69.53523215
110000,41.24085289,15.84669345,69.55999547
111000,41.25438601,15.85745993,69.58568539
112000,41.26779966,15.86827618,69.61229124
113000,41.28108001,15.87914219,69.63980272
114000,41.2942173,15.89005753,69.66820949
115000,41.30720409,15.90102167,69.69750108
116000,41.32003452,15.91203414,69.72766689
117000,41.33285547,15.92309456,69.75697292
118000,41.3461228,15.93420262,69.78247174
119000,41.35937069,15.94535829,69.80879448
120000,41.37254541,15.95656276,69.83590857
121000,41.38562406,15.96781681,69.86379808
122000,41.39859258,15.97912036,69.89245116
123000,41.41144109,15.99047291,69.92185766
124000,41.42416209,16.00190603,69.9520082
125000,41.43674962,16.01353473,69.98289389
126000,41.44883461,16.02518266,70.01818942
127000,41.46050753,16.03684936,70.05512548
128000,41.4721875,16.04853391,70.09074463
129000,41.48392767,16.06023492,70.12516666
130000,41.49575731,16.07195235,70.15844987
131000,41.50769683,16.08368707,70.19062641
132000,41.51976229,16.09544017,70.2217131
133000,41.53193493,16.10721267,70.2521581
134000,41.54333891,16.11900534,70.28965976
135000,41.5547303,16.13081876,70.32551883
136000,41.56621436,16.14265177,70.35991845
137000,41.57783094,16.15450313,70.3929146
138000,41.58960618,16.16637273,70.42452732
139000,41.60156069,16.17826106,70.45475744
140000,41.61371246,16.19016873,70.48359263
141000,41.62441701,16.20209626,70.52901442
142000,41.63154421,16.21404441,70.59910553
143000,41.63830548,16.22601239,70.66495912
144000,41.64498523,16.23799162,70.72751341
145000,41.30618137,16.24997884,74.33410773
146000,41.21848621,16.26206464,74.19161149
147000,41.1848711,16.27383471,74.11239905
148000,41.1657278,16.2849841,74.06388591
149000,41.15377771,16.29604564,74.0330568
150000,41.14616707,16.30740385,74.01408408
151000,41.14145262,16.31921609,74.00363962
152000,41.13881308,16.33150887,73.99948508
153000,41.13770451,16.34424897,74.00050735
154000,41.13780138,16.35738137,74.00530782
155000,41.13885762,16.37084725,74.01323499
156000,41.14069568,16.38459164,74.02368813
157000,41.14318244,16.39856624,74.03619749
158000,41.14621537,16.41272987,74.05038842
159000,41.14971396,16.42704796,74.06595836
160000,41.1536141,16.4414918,74.08266058
161000,41.15786421,16.4560376,74.10029232
162000,41.16242243,16.47066571,74.11868581
163000,41.16725456,16.48535994,74.1377014
164000,41.17233253,16.50010694,74.15722218
165000,41.17763316,16.51489568,74.17714967
166000,41.18313732,16.52971709,74.19740044
167000,41.1888291,16.54456369,74.21790341
168000,41.19469532,16.55942935,74.23859759
169000,41.20088317,16.57430901,74.25767893
170000,41.20751895,16.58919849,74.27484405
171000,41.21436527,16.60409451,74.29215563
172000,41.22139381,16.61899496,74.30953919
173000,41.22858963,16.63389799,74.32694765
174000,41.23594267,16.64880174,74.34434434
175000,41.24344549,16.66370448,74.36169862
176000,41.25109239,16.6786047,74.37898386
177000,41.25887892,16.69350116,74.39617643
178000,41.26680156,16.7083929,74.41325495
179000,41.27485756,16.72327915,74.43019982
180000,41.28304477,16.73815941,74.44699288
181000,41.29136158,16.7530333,74.46361707
182000,41.2998068,16.76790062,74.48005631
183000,41.30837965,16.78276132,74.49629521
184000,41.31637834,16.79761542,74.51944172
185000,41.32407353,16.81246326,74.54406785
186000,41.33178408,16.82730442,74.56812968
187000,41.33954835,16.84213769,74.59170375
188000,41.34738567,16.8569629,74.61482216
189000,41.35530836,16.87178084,74.63749974
190000,41.36332529,16.88659284,74.65974214
191000,41.37144346,16.90140034,74.6815494
192000,41.37966871,16.91620481,74.70291772
193000,41.38800619,16.93100762,74.72384054
194000,41.39646062,16.94581005,74.74430913
195000,41.40414466,16.96061325,74.77350459
196000,41.41129307,16.97541855,74.80527334
197000,41.41842259,16.99022627,74.83600981
198000,41.42559152,17.00512012,74.86585754
199000,41.43282964,17.02014779,74.89488226
200000,41.44015648,17.0351301,74.9231185
201000,41.4475866,17.05006912,74.95058352
202000,41.45513188,17.06496706,74.97728342
203000,41.46261126,17.07982609,75.00579623
204000,41.4676635,17.09464822,75.05646005
205000,41.47240941,17.10943579,75.10450363
206000,41.47708458,17.12418746,75.15071296
207000,41.4817644,17.13890106,75.19539108
208000,41.48649021,17.15357723,75.23870496
209000,41.18832949,17.16821857,79.02232214
210000,41.06281851,17.18288251,78.85733931
211000,41.01840818,17.1974565,78.78518304
212000,40.99159746,17.21139609,78.73794888
213000,40.97320809,17.2250085,78.70561271
214000,40.96005232,17.23868359,78.6818263
215000,40.95043808,17.25263811,78.66433902
216000,40.94338017,17.26695451,78.65169987
217000,40.93825554,17.28164096,78.64290791
218000,40.93464556,17.29667049,78.63723869
219000,40.93225505,17.31200226,78.63414755
220000,40.93086751,17.32759241,78.6332122
221000,40.93031896,17.34339913,78.63409707
222000,40.93048192,17.35938469,78.6365303
223000,40.93125525,17.37551612,78.64028846
224000,40.93255741,17.39176503,78.64518576
225000,40.93432181,17.40810729,78.65106634
226000,40.93649351,17.42452249,78.65779856
227000,40.93902683,17.44099344,78.66527048
228000,40.94188351,17.45750571,78.67338649
229000,40.94503132,17.47404721,78.68206446
230000,40.94844299,17.49060782,78.69123353
231000,40.95209535,17.50717914,78.70083232
232000,40.9559686,17.52375415,78.71080736
233000,40.96004582,17.54032705,78.72111192
234000,40.96431246,17.55689307,78.73170491
235000,40.96875598,17.57344829,78.7425501
236000,40.97334525,17.58998954,78.7538607
237000,40.97802819,17.60651427,78.76585862
238000,40.9828457,17.62302049,78.778009
239000,40.98779555,17.63950654,78.79029721
240000,40.99287356,17.65597117,78.80270514
241000,40.99807554,17.67241352,78.81521505
242000,41.00339761,17.68883307,78.82781019
243000,41.00883626,17.70522958,78.84047489
244000,41.01438837,17.72160301,78.85319454
245000,41.02005119,17.73795349,78.86595546
246000,41.02582228,17.75428131,78.87874483
247000,41.03169953,17.77058689,78.89155059
248000,41.03768107,17.78687073,78.90436136
249000,41.04376528,17.80313343,78.91716636
250000,41.04995077,17.81937567,78.92995531
251000,41.05623632,17.83559817,78.94271841
252000,41.06262092,17.85180172,78.95544627
253000,41.06910368,17.86798715,78.96812983
254000,41.07568387,17.88415531,78.98076036
255000,41.08236089,17.90030709,78.9933294
256000,41.08876911,17.91644341,79.01001026
257000,41.0946365,17.93256526,79.03102633
258000,41.10047564,17.94867367,79.05159605
259000,41.1063329,17.96476853,79.07184408
260000,41.11222824,17.98084985,79.09182039
261000,41.11817335,17.99691847,79.11155121
262000,41.12417604,18.01318586,79.13105142
263000,41.130242,18.02944254,79.15032939
264000,41.1363756,18.04563533,79.16938935
265000,41.14258041,18.06176632,79.1882327
266000,41.14885942,18.07783753,79.20685887
267000,41.15521527,18.09385086,79.22526581
268000,41.16165029,18.10980814,79.24345031
269000,41.16778248,18.12571107,79.26559809
270000,41.17362331,18.14156138,79.28961081
271000,41.17947105,18.1573606,79.31310863
272000,41.18535598,18.17310937,79.33617613
273000,41.19129296,18.18880852,79.35885066
274000,41.19729145,18.20445935,79.38115238
275000,41.20335833,18.2200635,79.40309258
276000,41.20949895,18.23562275,79.42467711
277000,41.21571779,18.25113888,79.44590815
278000,41.22201875,18.26661363,79.46678524
279000,41.22840534,18.28204862,79.48730593
280000,41.23454548,18.29744541,79.5114785
281000,41.23990795,18.31280552,79.54189748
282000,41.2452184,18.32813056,79.57131997
283000,41.25054209,18.34342081,79.59997618
284000,41.25590636,18.35867626,79.62795929
285000,41.26132755,18.37389773,79.65532048
286000,41.26681707,18.38908671,79.68209054
287000,41.27238366,18.404245,79.70828817
288000,41.27803453,18.4193745,79.73392405
289000,41.28300861,18.43447709,79.76833521
290000,41.28581334,18.44955462,79.81979468
291000,41.28841869,18.4646094,79.868354
292000,41.29096467,18.47964059,79.91505581
293000,41.29350313,18.49464647,79.96030901
294000,41.29570423,18.50962736,80.00962929
295000,40.92852429,18.52458547,83.74122164
296000,40.85805224,18.53960942,83.58692736
297000,40.82380267,18.55450258,83.49921747
298000,40.79917898,18.56890935,83.4663667
299000,40.78123902,18.58304725,83.44126083
300000,40.76776374,18.59719343,83.42184787
301000,40.75744583,18.61152047,83.40677229
302000,40.74947656,18.62611056,83.39511609
303000,40.74332283,18.64099012,83.38622628
304000,40.73861564,18.65615497,83.37962032
305000,40.73508923,18.67158579,83.37493017
306000,40.73254569,18.6872569,83.3718675
307000,40.73083341,18.70314096,83.37020115
308000,40.72983342,18.71921147,83.36974228
309000,40.72945053,18.73544392,83.37033419
310000,40.72960724,18.75181623,83.37184518
311000,40.73023969,18.76830886,83.3741635
312000,40.73129456,18.78490467,83.37719348
313000,40.73272703,18.80158873,83.38085268
314000,40.73449905,18.81834811,83.38506967
315000,40.73657814,18.83517163,83.3897822
316000,40.73893643,18.85204965,83.39493583
317000,40.74154987,18.86897391,83.40048274
318000,40.74439761,18.8859373,83.40638072
319000,40.74746156,18.90293374,83.41259246
320000,40.7507259,18.91995803,83.41908477
321000,40.75417679,18.93700577,83.4258281
322000,40.75780208,18.95407321,83.432796
323000,40.7615911,18.97115722,83.43996473
324000,40.7655344,18.98825515,83.44731293
325000,40.76962365,19.00545691,83.45482127
326000,40.77385146,19.02282831,83.46247223
327000,40.77821125,19.0401445,83.47024987
328000,40.7826972,19.05740456,83.47813964
329000,40.78730409,19.07460787,83.48612819
330000,40.79202727,19.09175404,83.49420326
331000,40.79670341,19.10884294,83.50436054
332000,40.80090125,19.1258746,83.51941894
333000,40.80508991,19.1428494,83.5342598
334000,40.80931048,19.15976731,83.54900523
335000,40.81357749,19.17662806,83.56369361
336000,40.81789836,19.19343187,83.5783417
337000,40.82227743,19.21017944,83.5929571
338000,40.82671743,19.22687183,83.60754258
339000,40.83122017,19.24351031,83.62209813
340000,40.83578689,19.26009623,83.63662206
341000,40.84041848,19.27663101,83.65111159
342000,40.8451156,19.29311607,83.66556324
343000,40.84987873,19.30955283,83.6799731
344000,40.85470828,19.32594269,83.69433697
345000,40.85960459,19.34228706,83.70865046
346000,40.86456793,19.3585873,83.72290906
347000,40.86959858,19.37484476,83.73710821
348000,40.87467578,19.39106077,83.75155273
349000,40.87943661,19.40723665,83.76962148
350000,40.8841921,19.42337378,83.78736709
351000,40.88897798,19.43947333,83.80490348
352000,40.89380585,19.45553618,83.82226341
353000,40.89868204,19.47156328,83.83946251
354000,40.90361065,19.48755581,83.85650916
355000,40.90859464,19.50351511,83.87340786
356000,40.91363625,19.51944259,83.89016073
357000,40.91873728,19.53533968,83.90676834
358000,40.92389925,19.55120779,83.92323014
359000,40.92912345,19.56704834,83.93954485
360000,40.93441103,19.58286267,83.95571057
361000,40.93976303,19.59865212,83.97172499
362000,40.94518043,19.61441797,83.98758545
363000,40.95058145,19.63016148,84.00438988
364000,40.95556061,19.64588388,84.02533872
365000,40.96052311,19.66158647,84.04578478
366000,40.96550879,19.67727027,84.0658672
367000,40.97053239,19.69293589,84.08563385
368000,40.97560232,19.70858406,84.10510993
369000,40.98072421,19.72421583,84.12431052
370000,40.98590218,19.73983241,84.1432451
371000,40.99113948,19.75543513,84.16191959
