0.1t,0.1contact_diameter,0.1drop_height,0.1contact_angle,0.1actual_angle
0,57,68,134.5211644,-45.47883557
50000,57,68,134.5211644,-45.47883557
100000,57,68,134.5211644,-45.47883557
150000,57,67,133.9128044,-46.0871956
200000,55,66,134.7602701,-45.2397299
250000,55,65,134.1357991,-45.86420088
300000,55,64,133.4948157,-46.50518435
350000,55,63,132.8366977,-47.16330229
400000,55,62,132.1607942,-47.83920584
450000,53,60,132.341101,-47.65889896
500000,53,59,131.625293,-48.37470703
550000,53,58,130.8890053,-49.11099473
600000,53,57,130.1314098,-49.86859021
650000,51,56,131.0350282,-48.96497179
700000,51,55,130.2516922,-49.74830783
750000,51,54,129.4445555,-50.55544447
800000,49,53,130.3811832,-49.61881675
850000,49,52,129.5447011,-50.45529893
900000,47,51,130.5209823,-49.47901774
950000,47,50,129.652951,-50.34704905
1000000,45,49,130.6723706,-49.32762942
1050000,45,48,129.7703302,-50.22966977
1100000,43,47,130.836851,-49.16314897
1150000,43,46,129.8980444,-50.10195563
1200000,41,45,131.0161979,-48.98380206
1250000,41,44,130.0375208,-49.96247921
1300000,39,43,131.2125212,-48.78747877
1350000,37,42,132.4553024,-47.54469762
1400000,37,40,130.3589173,-49.64108267
1450000,35,39,131.6667403,-48.33325969
1500000,33,38,133.0580138,-46.94198624
1550000,31,37,134.5405358,-45.45946416
1600000,31,36,133.4108735,-46.58912651
1650000,29,35,134.992943,-45.007057
1700000,27,33,135.5019527,-44.49804731
1750000,25,32,137.3262814,-42.67371858
1800000,23,31,139.2935417,-40.7064583
1850000,21,29,140.1925009,-39.80749907
1900000,19,28,142.5173191,-37.48268089
1950000,19,26,139.8569483,-40.14305173
2000000,17,24,140.995103,-39.00489701
2050000,13,22,147.0799704,-32.92002962
2100000,11,19,147.7113224,-32.28867756
2150000,9,16,148.5827243,-31.41727566
2200000,5,12,156.4634221,-23.53657786
2230628,0,0,0,0
