0.2t,0.2contact_diameter,0.2drop_height,0.2contact_angle,0.2actual_angle,0.1't,0.1'contact_diameter,0.1'drop_height,0.1'contact_angle,0.1'actual_angle,0.3t,0.3contact_diameter,0.3drop_height,0.3contact_angle,0.3actual_angle,0.5t,0.5conatact_diameter,0.5contact_height,0.5contact_angle,0.5actual_angle,0.1t,0.1contact_diameter,0.1drop_height,0.1contact_angle,0.1actual_angle
0,109,55,90.52324549,-89.47675451,0,109,55,90.52324549,,0,109,55,90.52324549,-89.47675451,0,109,55,90.523245,0,0,109,55,90.52324549,0
50000,109,55,90.52324549,-89.47675451,10000,109,55,90.52324549,,50000,109,55,90.52324549,-89.47675451,1926,0,0,0,0,50000,109,55,90.52324549,0
100000,109,54,89.47193204,89.47193204,20000,109,55,90.52324549,,100000,109,53,88.40115177,88.40115177,,,,,,100000,109,54,89.47193204,0
150000,107,53,89.46201541,89.46201541,30000,109,55,90.52324549,,150000,107,51,87.25909796,87.25909796,,,,,,150000,109,54,89.47193204,0
200000,107,51,87.25909796,87.25909796,40000,109,55,90.52324549,,200000,105,48,84.87245958,84.87245958,,,,,,200000,107,53,89.46201541,0
250000,105,49,86.05013198,86.05013198,50000,109,55,90.52324549,,250000,103,45,82.29303909,82.29303909,,,,,,250000,107,52,88.3708459,0
300000,103,47,84.76849025,84.76849025,60000,109,55,90.52324549,,300000,99,42,80.62820032,80.62820032,,,,,,300000,107,51,87.25909796,0
350000,101,45,83.40776805,83.40776805,70000,109,55,90.52324549,,350000,95,39,78.77559354,78.77559354,,,,,,350000,105,50,87.20563795,0
400000,99,43,81.96083502,81.96083502,80000,109,55,90.52324549,,400000,89,36,77.94493941,77.94493941,,,,,,400000,105,50,87.20563795,0
450000,97,42,81.78377565,81.78377565,90000,109,55,90.52324549,,450000,85,33,75.65657567,75.65657567,,,,,,450000,103,49,87.15005145,0
500000,93,40,81.40522667,81.40522667,100000,109,54,89.47193204,,500000,79,30,74.43288095,74.43288095,,,,,,500000,103,48,85.97080242,0
550000,91,38,79.73489112,79.73489112,110000,109,54,89.47193204,,550000,71,28,76.52797757,76.52797757,,,,,,550000,101,47,85.88822243,0
600000,87,36,79.22137648,79.22137648,120000,109,54,89.47193204,,600000,63,25,76.87460298,76.87460298,,,,,,600000,101,46,84.66022048,0
650000,85,34,77.31961651,77.31961651,130000,109,54,89.47193204,,650000,55,22,77.31961651,77.31961651,,,,,,650000,99,45,84.54737801,0
700000,81,33,78.34731594,78.34731594,140000,109,54,89.47193204,,700000,45,19,80.35846784,80.35846784,,,,,,700000,99,44,83.26707867,0
750000,77,31,77.68167394,77.68167394,150000,109,54,89.47193204,,750000,33,16,88.23719201,88.23719201,,,,,,750000,97,44,84.42966716,0
800000,71,29,78.49086934,78.49086934,160000,109,54,89.47193204,,800000,19,11,98.36983225,-81.63016775,,,,,,800000,95,43,84.30676617,0
850000,67,28,79.77916488,79.77916488,170000,107,54,90.53298015,,830459,0,0,0,0,,,,,,850000,95,42,82.96690501,0
900000,61,26,80.89246404,80.89246404,180000,107,53,89.46201541,,,,,,,,,,,,900000,93,41,82.80656584,0
950000,57,24,80.20181509,80.20181509,190000,107,53,89.46201541,,,,,,,,,,,,950000,91,40,82.63875565,0
1000000,51,22,81.57164295,81.57164295,200000,107,53,89.46201541,,,,,,,,,,,,1000000,89,39,82.46294058,0
1050000,45,21,86.05013198,86.05013198,210000,107,53,89.46201541,,,,,,,,,,,,1050000,89,39,82.46294058,0
1100000,37,18,88.43035079,88.43035079,220000,107,53,89.46201541,,,,,,,,,,,,1100000,87,38,82.27853475,0
1150000,31,16,91.8187609,-88.1812391,230000,107,53,89.46201541,,,,,,,,,,,,1150000,85,37,82.08489377,0
1200000,21,12,97.62814967,-82.37185033,240000,107,52,88.3708459,,,,,,,,,,,,1200000,83,36,81.88130727,0
1250000,9,6,106.2602047,-73.73979529,250000,107,52,88.3708459,,,,,,,,,,,,1250000,81,36,83.26707867,0
1255586,0,0,0,-180,260000,107,52,88.3708459,,,,,,,,,,,,1300000,79,35,83.08676166,0
,,,,,270000,107,52,88.3708459,,,,,,,,,,,,1350000,77,34,82.89653329,0
,,,,,280000,107,52,88.3708459,,,,,,,,,,,,1400000,75,33,82.69555444,0
,,,,,290000,107,52,88.3708459,,,,,,,,,,,,1450000,73,32,82.48288863,0
,,,,,300000,107,51,87.25909796,,,,,,,,,,,,1500000,71,32,84.06353194,0
,,,,,310000,107,51,87.25909796,,,,,,,,,,,,1550000,69,31,83.88260485,0
,,,,,320000,105,51,88.33936903,,,,,,,,,,,,1600000,67,30,83.69031427,0
,,,,,330000,105,51,88.33936903,,,,,,,,,,,,1650000,65,29,83.48555612,0
,,,,,340000,105,51,88.33936903,,,,,,,,,,,,1700000,61,29,87.11174894,0
,,,,,350000,105,50,87.20563795,,,,,,,,,,,,1750000,59,28,87.01133282,0
,,,,,360000,105,50,87.20563795,,,,,,,,,,,,1800000,57,27,86.9036846,0
,,,,,370000,105,50,87.20563795,,,,,,,,,,,,1850000,55,26,86.78799402,0
,,,,,380000,105,50,87.20563795,,,,,,,,,,,,1900000,51,25,88.86546718,0
,,,,,390000,105,50,87.20563795,,,,,,,,,,,,1950000,49,24,88.81868557,0
,,,,,400000,105,50,87.20563795,,,,,,,,,,,,2000000,47,23,88.76788018,0
,,,,,410000,105,49,86.05013198,,,,,,,,,,,,2050000,43,22,91.31708636,-88.68291364
,,,,,420000,105,49,86.05013198,,,,,,,,,,,,2100000,41,21,91.3805544,-88.6194456
,,,,,430000,105,49,86.05013198,,,,,,,,,,,,2150000,37,19,91.52779692,-88.47220308
,,,,,440000,103,49,87.15005145,,,,,,,,,,,,2200000,33,18,94.97910584,-85.02089416
,,,,,450000,103,49,87.15005145,,,,,,,,,,,,2250000,29,16,95.63111337,-84.36888663
,,,,,460000,103,49,87.15005145,,,,,,,,,,,,2300000,25,14,96.47940059,-83.52059941
,,,,,470000,103,48,85.97080242,,,,,,,,,,,,2350000,21,12,97.62814967,-82.37185033
,,,,,480000,103,48,85.97080242,,,,,,,,,,,,2400000,15,9,100.3888578,-79.61114218
,,,,,490000,103,48,85.97080242,,,,,,,,,,,,2435413,0,0,0,0
,,,,,500000,103,48,85.97080242,,,,,,,,,,,,,,,,
,,,,,510000,103,48,85.97080242,,,,,,,,,,,,,,,,
,,,,,520000,103,47,84.76849025,,,,,,,,,,,,,,,,
,,,,,530000,103,47,84.76849025,,,,,,,,,,,,,,,,
,,,,,540000,101,47,85.88822243,,,,,,,,,,,,,,,,
,,,,,550000,101,47,85.88822243,,,,,,,,,,,,,,,,
,,,,,560000,101,47,85.88822243,,,,,,,,,,,,,,,,
,,,,,570000,101,47,85.88822243,,,,,,,,,,,,,,,,
,,,,,580000,101,46,84.66022048,,,,,,,,,,,,,,,,
,,,,,590000,101,46,84.66022048,,,,,,,,,,,,,,,,
,,,,,600000,101,46,84.66022048,,,,,,,,,,,,,,,,
,,,,,610000,101,46,84.66022048,,,,,,,,,,,,,,,,
,,,,,620000,101,46,84.66022048,,,,,,,,,,,,,,,,
,,,,,630000,99,46,85.80218813,,,,,,,,,,,,,,,,
,,,,,640000,99,45,84.54737801,,,,,,,,,,,,,,,,
,,,,,650000,99,45,84.54737801,,,,,,,,,,,,,,,,
,,,,,660000,99,45,84.54737801,,,,,,,,,,,,,,,,
,,,,,670000,99,45,84.54737801,,,,,,,,,,,,,,,,
,,,,,680000,99,45,84.54737801,,,,,,,,,,,,,,,,
,,,,,690000,99,45,84.54737801,,,,,,,,,,,,,,,,
,,,,,700000,99,44,83.26707867,,,,,,,,,,,,,,,,
,,,,,710000,99,44,83.26707867,,,,,,,,,,,,,,,,
,,,,,720000,97,44,84.42966716,,,,,,,,,,,,,,,,
,,,,,730000,97,44,84.42966716,,,,,,,,,,,,,,,,
,,,,,740000,97,44,84.42966716,,,,,,,,,,,,,,,,
,,,,,750000,97,44,84.42966716,,,,,,,,,,,,,,,,
,,,,,760000,97,43,83.12026061,,,,,,,,,,,,,,,,
,,,,,770000,97,43,83.12026061,,,,,,,,,,,,,,,,
,,,,,780000,97,43,83.12026061,,,,,,,,,,,,,,,,
,,,,,790000,95,43,84.30676617,,,,,,,,,,,,,,,,
,,,,,800000,95,43,84.30676617,,,,,,,,,,,,,,,,
,,,,,810000,95,43,84.30676617,,,,,,,,,,,,,,,,
,,,,,820000,95,42,82.96690501,,,,,,,,,,,,,,,,
,,,,,830000,95,42,82.96690501,,,,,,,,,,,,,,,,
,,,,,840000,95,42,82.96690501,,,,,,,,,,,,,,,,
