0x,0y,1x,1y,2x,2y,3x,3y
17.54627573,1,17.78595907,0,17.22941451,0,16.5955681,0
17.5659439,2,17.88704517,1,17.6660821,1,17,0.59379339
17.5659439,0,18,1.695086282,18,1.686803495,17.27536554,1
17.6259107,3,18.04916932,2,18.15314804,2,17.98990597,2
17.72857321,4,18.269967,3,18.68975612,3,18,2.013270576
17.87818224,5,18.55317114,4,19,3.517908035,18.75883274,3
18,5.604867496,18.90701606,5,19.29571698,4,19,3.2924431
18.08015352,6,19,5.219458612,19.97249653,5,19.60024779,4
18.33526779,7,19.33566724,6,20,5.037152854,20,4.440162554
18.65254584,8,19.83998816,7,20.73927761,6,20.53103572,5
19,8.882692129,20,7.274943307,21,6.310008446,21,5.463739332
19.0480768,9,20.437134,8,21.61247422,7,21.57444717,6
19.52780764,10,21,8.818161612,22,7.403436748,22,6.375023221
20,10.81772692,21.13258208,9,22.61402147,8,22.7627145,7
20.11248975,11,21.94215033,10,23,8.350439197,23,7.185341272
20.82254405,12,22,10.06493053,23.77894766,9,24,7.901121985
21,12.21754129,22.89448816,11,24,9.174504199,24.1497264,8
21.69948825,13,23,11.10147436,25,9.889136294,25,8.535858791
22,13.29886233,24,11.98127044,25.17066661,10,25.82531474,9
22.79455169,14,24.02330911,12,26,10.51277257,26,9.095791983
23,14.16579222,25,12.7326097,26.89988377,11,27,9.581786756
24,14.86812508,25.39945234,13,27,11.05289292,27.9917976,10
24.2164058,15,26,13.38205254,28,11.51482581,28,10.00342765
25,15.44787639,27,13.93577119,29,11.90487291,29,10.3639542
26,15.92356777,27.13087521,14,29.28617182,12,30,10.66082928
26.18795284,16,28,14.4101394,30,12.23295891,31,10.90199242
27,16.31806722,29,14.80570832,31,12.49350913,31.51917891,11
28,16.6362488,29.58244144,15,32,12.69283374,32,11.09076503
29,16.89467236,30,15.13751814,33,12.83444323,33,11.22408516
29.50277117,17,31,15.40165181,34,12.9194011,34,11.30308345
30,17.10359313,32,15.60237361,35,12.94774957,35,11.32927256
31,17.26453089,33,15.74425742,36,12.9194011,36,11.30308345
32,17.38313371,34,15.82909363,37,12.83444323,37,11.22408516
33,17.4646041,35,15.85735395,38,12.69283374,38,11.09076503
34,17.51225625,36,15.82909363,39,12.49350913,38.48082109,11
35,17.52794143,37,15.74425742,40,12.23295891,39,10.90199242
36,17.51225625,38,15.60237361,40.71382818,12,40,10.66082928
37,17.4646041,39,15.40165181,41,11.90487291,41,10.3639542
38,17.38313371,40,15.13751814,42,11.51482581,42,10.00342765
39,17.26453089,40.41755856,15,43,11.05289292,42.0082024,10
40,17.10359313,41,14.80570832,43.10011623,11,43,9.581786756
40.49722883,17,42,14.4101394,44,10.51277257,44,9.095791983
41,16.89467236,42.86912479,14,44.82933339,10,44.17468526,9
42,16.6362488,43,13.93577119,45,9.889136294,45,8.535858791
43,16.31806722,44,13.38205254,46,9.174504199,45.8502736,8
43.81204716,16,44.60054766,13,46.22105234,9,46,7.901121985
44,15.92356777,45,12.7326097,47,8.350439197,47,7.185341272
45,15.44787639,45.97669089,12,47.38597853,8,47.2372855,7
45.7835942,15,46,11.98127044,48,7.403436748,48,6.375023221
46,14.86812508,47,11.10147436,48.38752578,7,48.42555283,6
47,14.16579222,47.10551184,11,49,6.310008446,49,5.463739332
47.20544831,14,48,10.06493053,49.26072239,6,49.46896428,5
48,13.29886233,48.05784967,10,50,5.037152854,50,4.440162554
48.30051175,13,48.86741792,9,50.02750347,5,50.39975221,4
49,12.21754129,49,8.818161612,50.70428302,4,51,3.2924431
49.17745595,12,49.562866,8,51,3.517908035,51.24116726,3
49.88751025,11,50,7.274943307,51.31024388,3,52,2.013270576
50,10.81772692,50.16001184,7,51.84685196,2,52.01009403,2
50.47219236,10,50.66433276,6,52,1.686803495,52.72463446,1
50.9519232,9,51,5.219458612,52.3339179,1,53,0.59379339
51,8.882692129,51.09298394,5,52.77058549,0,53.4044319,0
51.34745416,8,51.44682886,4,,,,
51.66473221,7,51.730033,3,,,,
51.91984648,6,51.95083068,2,,,,
52,5.604867496,52,1.695086282,,,,
52.12181776,5,52.11295483,1,,,,
52.27142679,4,52.21404093,0,,,,
52.3740893,3,,,,,,
52.4340561,2,,,,,,
52.4340561,0,,,,,,
52.45372427,1,,,,,,
