0x,0y,1x,1y,2x,2y,3x,3y
17.54627573,1,18.74366443,1,21.1050701,1,24.11377268,1
17.5659439,2,18.77956942,0,21.14618181,0,24.16337984,0
17.5659439,0,18.77956942,2,21.14618181,2,24.16337984,2
17.6259107,3,18.88827823,3,21.26973105,3,24.31301236,3
17.72857321,4,19,3.608720711,21.47752733,4,24.56690939,4
17.87818224,5,19.0717732,4,21.77541575,5,24.93672781,5
18,5.604867496,19.3276447,5,22,5.571389351,25,5.131924057
18.08015352,6,19.66174139,6,22.17329771,6,25.43357632,6
18.33526779,7,20,6.802441664,22.67055391,7,26,6.890029292
18.65254584,8,20.08610181,7,23,7.544747854,26.07629072,7
19,8.882692129,20.59875199,8,23.29167907,8,26.90117977,8
19.0480768,9,21,8.659196008,24,8.942090063,27,8.103432222
19.52780764,10,21.21861872,9,24.04737095,9,27.97424848,9
20,10.81772692,21.95205222,10,24.97468302,10,28,9.021256092
20.11248975,11,22,10.05834634,25,10.02454619,29,9.734198476
20.82254405,12,22.82866547,11,26,10.89803131,29.45349817,10
21,12.21754129,23,11.17580009,26.13195937,11,30,10.2999846
21.69948825,13,23.87809326,12,27,11.6189218,31,10.73340269
22,13.29886233,24,12.10575423,27.62258338,12,31.81194017,11
22.79455169,14,25,12.88801624,28,12.21941532,32,11.06068907
23,14.16579222,25.15944654,13,29,12.70958987,33,11.28874188
24,14.86812508,26,13.55470096,29.71543232,13,34,11.42171968
24.2164058,15,26.77586765,14,30,13.11294367,35,11.46549824
25,15.44787639,27,14.12408714,31,13.43121922,36,11.42171968
26,15.92356777,28,14.60272973,32,13.67102792,37,11.28874188
26.18795284,16,28.9854067,15,33,13.83989122,38,11.06068907
27,16.31806722,29,15.00581481,34,13.94073794,38.18805983,11
28,16.6362488,30,15.33961971,35,13.97432588,39,10.73340269
29,16.89467236,31,15.60337071,36,13.94073794,40,10.2999846
29.50277117,17,32,15.80528105,37,13.83989122,40.54650183,10
30,17.10359313,33,15.94887237,38,13.67102792,41,9.734198476
31,17.26453089,33.5924758,16,39,13.43121922,42,9.021256092
32,17.38313371,34,16.03550449,40,13.11294367,42.02575152,9
33,17.4646041,35,16.06443551,40.28456768,13,43,8.103432222
34,17.51225625,36,16.03550449,41,12.70958987,43.09882023,8
35,17.52794143,36.4075242,16,42,12.21941532,43.92370928,7
36,17.51225625,37,15.94887237,42.37741662,12,44,6.890029292
37,17.4646041,38,15.80528105,43,11.6189218,44.56642368,6
38,17.38313371,39,15.60337071,43.86804063,11,45,5.131924057
39,17.26453089,40,15.33961971,44,10.89803131,45.06327219,5
40,17.10359313,41,15.00581481,45,10.02454619,45.43309061,4
40.49722883,17,41.0145933,15,45.02531698,10,45.68698764,3
41,16.89467236,42,14.60272973,45.95262905,9,45.83662016,2
42,16.6362488,43,14.12408714,46,8.942090063,45.83662016,0
43,16.31806722,43.22413235,14,46.70832093,8,45.88622732,1
43.81204716,16,44,13.55470096,47,7.544747854,,
44,15.92356777,44.84055346,13,47.32944609,7,,
45,15.44787639,45,12.88801624,47.82670229,6,,
45.7835942,15,46,12.10575423,48,5.571389351,,
46,14.86812508,46.12190674,12,48.22458425,5,,
47,14.16579222,47,11.17580009,48.52247267,4,,
47.20544831,14,47.17133453,11,48.73026895,3,,
48,13.29886233,48,10.05834634,48.85381819,2,,
48.30051175,13,48.04794778,10,48.85381819,0,,
49,12.21754129,48.78138128,9,48.8949299,1,,
49.17745595,12,49,8.659196008,,,,
49.88751025,11,49.40124801,8,,,,
50,10.81772692,49.91389819,7,,,,
50.47219236,10,50,6.802441664,,,,
50.9519232,9,50.33825861,6,,,,
51,8.882692129,50.6723553,5,,,,
51.34745416,8,50.9282268,4,,,,
51.66473221,7,51,3.608720711,,,,
51.91984648,6,51.11172177,3,,,,
52,5.604867496,51.22043058,2,,,,
52.12181776,5,51.22043058,0,,,,
52.27142679,4,51.25633557,1,,,,
52.3740893,3,,,,,,
52.4340561,2,,,,,,
52.4340561,0,,,,,,
52.45372427,1,,,,,,
