X,Y
0,0.225125
1,0.591806
2,0.808124
3,0.914811
4,0.963148
5,0.984238
6,0.993291
7,0.99715
8,0.998791
9,0.999487
10,0.999782
11,0.999908
12,0.999961
13,0.999983
14,0.999993
15,0.999997
16,0.999999
17,0.999999
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,0.999999
58,0.999999
59,0.999997
60,0.999993
61,0.999983
62,0.999961
63,0.999908
64,0.999782
65,0.999487
66,0.998791
67,0.99715
68,0.993291
69,0.984238
70,0.963148
71,0.914811
72,0.808124
73,0.591806
74,0.225125
75,-0.225125
76,-0.591806
77,-0.808124
78,-0.914811
79,-0.963148
80,-0.984238
81,-0.993291
82,-0.99715
83,-0.998791
84,-0.999487
85,-0.999782
86,-0.999908
87,-0.999961
88,-0.999983
89,-0.999993
90,-0.999997
91,-0.999999
92,-0.999999
93,-1
94,-1
95,-1
96,-1
97,-1
98,-1
99,-1
100,-1
101,-1
102,-1
103,-1
104,-1
105,-1
106,-1
107,-1
108,-1
109,-1
110,-1
111,-1
112,-1
113,-1
114,-1
115,-1
116,-1
117,-1
118,-1
119,-1
120,-1
121,-1
122,-1
123,-1
124,-1
125,-1
126,-1
127,-1
128,-1
129,-1
130,-1
131,-1
132,-0.999999
133,-0.999999
134,-0.999997
135,-0.999993
136,-0.999983
137,-0.999961
138,-0.999908
139,-0.999782
140,-0.999487
141,-0.998791
142,-0.99715
143,-0.993291
144,-0.984238
145,-0.963148
146,-0.914811
147,-0.808124
148,-0.591806
149,-0.225125
